,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable,P. Confirmed
2952,8.48,1.9,1.23,2.34,2.11,375.7,10.4,-20.27,3.62,106.25,0.436,0.0,0.44,0.0,0.98,0.97,5712.0,0.898641,19.1114,49.4063,-28.4,1.1857,1.0,0.0,0.714,1.686,-1.57,-0.14,0.38,0.38,0.49,0.0,0.0,1.0
2953,1.07,1.06,0.89,0.94,1.0,446.2,0.9,-19.75,2.02,31.81,0.1823,0.0,0.18,0.0,0.8,0.75,4990.0,0.312907,19.2304,45.8021,-29.2,2.1921,1.0,0.0,0.438,1.06,-1.82,-0.17,-0.81,0.33,0.43,0.0,0.0,1.0
2954,2.23,1.32,0.97,1.28,1.3,1095.2,2.2,-24.15,2.51,2.69,0.0357,0.0,0.04,0.0,0.84,0.81,5212.0,0.434388,18.9398,47.8106,-33.1,12.126,1.0,0.0,0.511,1.225,-2.33,-0.16,-0.97,0.28,0.29,0.0,0.0,1.0
2955,10.17,1.99,1.28,2.56,2.26,786.3,13.1,-23.6,3.79,16.86,0.1324,0.0,0.13,0.0,1.09,1.14,6077.0,1.590218,19.7258,43.1561,-31.6,4.5897,1.0,0.0,0.929,2.174,-2.28,-0.13,-0.17,0.3,0.27,0.0,0.0,1.0
2956,4.09,1.57,1.06,1.66,1.62,1273.7,4.3,-25.18,2.98,4.89,0.0594,0.0,0.06,0.0,1.17,1.3,6176.0,2.206001,19.3165,39.5235,-33.8,11.6782,1.0,0.0,1.088,2.54,-2.42,-0.15,-0.85,0.28,0.28,0.0,0.0,1.0
2957,22.64,2.41,1.62,3.9,3.07,850.3,36.7,-24.35,4.58,11.17,0.0991,0.0,0.1,0.0,1.04,1.05,5924.0,1.218228,19.7539,43.8214,-32.0,5.6498,1.0,0.0,0.821,1.927,-2.31,-0.12,0.3,0.3,0.25,0.0,0.0,1.0
2958,4.34,2.82,0.19,0.55,1.24,591.9,0.8,-23.12,5.37,28.51,0.1826,0.0,0.18,0.0,1.0,0.99,5765.0,0.971309,19.4822,38.8922,-30.4,2.8899,1.0,0.0,0.74,1.744,-2.11,2.48,-0.74,0.23,0.26,0.0,0.0,1.0
2959,3.67,2.68,0.19,0.51,1.17,513.2,0.7,-22.38,5.09,53.6,0.2827,0.0,0.28,0.0,1.05,1.07,5983.0,1.316235,19.4188,46.966,-29.8,2.0171,1.0,0.0,0.85,1.993,-1.99,2.44,-0.73,0.24,0.3,0.0,0.0,1.0
2960,2.3,1.33,0.97,1.29,1.31,353.5,2.2,-19.23,2.53,104.35,0.4278,0.0,0.43,0.0,0.96,0.87,5622.0,0.678409,19.1494,39.3328,-28.2,1.0837,1.0,0.0,0.624,1.476,-1.46,-0.16,-0.38,0.4,0.58,0.0,0.0,1.0
2961,16.11,2.23,1.45,3.24,2.69,684.5,23.4,-23.24,4.24,16.08,0.1225,0.0,0.12,0.0,0.95,0.93,5635.0,0.782405,19.232,47.1018,-31.0,4.0459,1.0,0.0,0.669,1.584,-2.2,-0.12,0.26,0.31,0.27,0.0,0.0,1.0
